state,county,candidate,party,total_votes,won
Georgia,Bulloch County,Donald Trump,REP,18387,True
Georgia,Bulloch County,Joe Biden,DEM,11248,False
Georgia,Bulloch County,Jo Jorgensen,LIB,455,False
Georgia,Bulloch County, Write-ins,WRI,0,False
Georgia,Burke County,Donald Trump,REP,5400,True
Georgia,Burke County,Joe Biden,DEM,5208,False
Georgia,Burke County,Jo Jorgensen,LIB,75,False
Georgia,Burke County, Write-ins,WRI,0,False
Georgia,Butts County,Donald Trump,REP,8406,True
Georgia,Butts County,Joe Biden,DEM,3274,False
Georgia,Butts County,Jo Jorgensen,LIB,91,False
Georgia,Butts County, Write-ins,WRI,0,False
Georgia,Calhoun County,Joe Biden,DEM,1263,True
Georgia,Calhoun County,Donald Trump,REP,923,False
Georgia,Calhoun County,Jo Jorgensen,LIB,12,False
Georgia,Calhoun County, Write-ins,WRI,0,False
Georgia,Camden County,Donald Trump,REP,15249,True
Georgia,Camden County,Joe Biden,DEM,7967,False
Georgia,Camden County,Jo Jorgensen,LIB,470,False
Georgia,Camden County, Write-ins,WRI,0,False
Georgia,Candler County,Donald Trump,REP,3133,True
Georgia,Candler County,Joe Biden,DEM,1269,False
Georgia,Candler County,Jo Jorgensen,LIB,29,False
Georgia,Candler County, Write-ins,WRI,0,False
Georgia,Carroll County,Donald Trump,REP,37476,True
Georgia,Carroll County,Joe Biden,DEM,16236,False
Georgia,Carroll County,Jo Jorgensen,LIB,760,False
Georgia,Carroll County, Write-ins,WRI,0,False
Georgia,Catoosa County,Donald Trump,REP,25167,True
Georgia,Catoosa County,Joe Biden,DEM,6932,False
Georgia,Catoosa County,Jo Jorgensen,LIB,494,False
Georgia,Catoosa County, Write-ins,WRI,0,False
Georgia,Charlton County,Donald Trump,REP,3419,True
Georgia,Charlton County,Joe Biden,DEM,1105,False
Georgia,Charlton County,Jo Jorgensen,LIB,44,False
Georgia,Charlton County, Write-ins,WRI,0,False
Georgia,Chatham County,Joe Biden,DEM,78247,True
Georgia,Chatham County,Donald Trump,REP,53232,False
Georgia,Chatham County,Jo Jorgensen,LIB,1929,False
Georgia,Chatham County, Write-ins,WRI,0,False
Georgia,Chattahoochee County,Donald Trump,REP,880,True
Georgia,Chattahoochee County,Joe Biden,DEM,667,False
Georgia,Chattahoochee County,Jo Jorgensen,LIB,35,False
Georgia,Chattahoochee County, Write-ins,WRI,0,False
Georgia,Chattooga County,Donald Trump,REP,8064,True
Georgia,Chattooga County,Joe Biden,DEM,1854,False
Georgia,Chattooga County,Jo Jorgensen,LIB,132,False
Georgia,Chattooga County, Write-ins,WRI,0,False
Georgia,Cherokee County,Donald Trump,REP,99585,True
Georgia,Cherokee County,Joe Biden,DEM,42779,False
Georgia,Cherokee County,Jo Jorgensen,LIB,2451,False
Georgia,Cherokee County, Write-ins,WRI,0,False
Georgia,Clarke County,Joe Biden,DEM,36055,True
Georgia,Clarke County,Donald Trump,REP,14450,False
Georgia,Clarke County,Jo Jorgensen,LIB,841,False
Georgia,Clarke County, Write-ins,WRI,0,False
Georgia,Clay County,Joe Biden,DEM,791,True
Georgia,Clay County,Donald Trump,REP,637,False
Georgia,Clay County,Jo Jorgensen,LIB,7,False
Georgia,Clay County, Write-ins,WRI,0,False
Georgia,Clayton County,Joe Biden,DEM,95466,True
Georgia,Clayton County,Donald Trump,REP,15811,False
Georgia,Clayton County,Jo Jorgensen,LIB,1053,False
Georgia,Clayton County, Write-ins,WRI,0,False
Georgia,Clinch County,Donald Trump,REP,2105,True
Georgia,Clinch County,Joe Biden,DEM,744,False
Georgia,Clinch County,Jo Jorgensen,LIB,12,False
Georgia,Clinch County, Write-ins,WRI,0,False
Georgia,Cobb County,Joe Biden,DEM,221847,True
Georgia,Cobb County,Donald Trump,REP,165436,False
Georgia,Cobb County,Jo Jorgensen,LIB,6445,False
Georgia,Cobb County, Write-ins,WRI,0,False
Georgia,Coffee County,Donald Trump,REP,10578,True
Georgia,Coffee County,Joe Biden,DEM,4511,False
Georgia,Coffee County,Jo Jorgensen,LIB,125,False
Georgia,Coffee County, Write-ins,WRI,0,False
Georgia,Colquitt County,Donald Trump,REP,11777,True
Georgia,Colquitt County,Joe Biden,DEM,4190,False
Georgia,Colquitt County,Jo Jorgensen,LIB,119,False
Georgia,Colquitt County, Write-ins,WRI,0,False
Georgia,Columbia County,Donald Trump,REP,50013,True
Georgia,Columbia County,Joe Biden,DEM,29232,False
Georgia,Columbia County,Jo Jorgensen,LIB,1330,False
Georgia,Columbia County, Write-ins,WRI,0,False
Georgia,Cook County,Donald Trump,REP,4900,True
Georgia,Cook County,Joe Biden,DEM,2059,False
Georgia,Cook County,Jo Jorgensen,LIB,76,False
Georgia,Cook County, Write-ins,WRI,0,False
Georgia,Coweta County,Donald Trump,REP,51501,True
Georgia,Coweta County,Joe Biden,DEM,24210,False
Georgia,Coweta County,Jo Jorgensen,LIB,1088,False
Georgia,Coweta County, Write-ins,WRI,0,False
Georgia,Crawford County,Donald Trump,REP,4428,True
Georgia,Crawford County,Joe Biden,DEM,1615,False
Georgia,Crawford County,Jo Jorgensen,LIB,59,False
Georgia,Crawford County, Write-ins,WRI,0,False
Georgia,Crisp County,Donald Trump,REP,4985,True
Georgia,Crisp County,Joe Biden,DEM,2982,False
Georgia,Crisp County,Jo Jorgensen,LIB,66,False
Georgia,Crisp County, Write-ins,WRI,0,False
Georgia,Dade County,Donald Trump,REP,6066,True
Georgia,Dade County,Joe Biden,DEM,1261,False
Georgia,Dade County,Jo Jorgensen,LIB,107,False
Georgia,Dade County, Write-ins,WRI,0,False
Georgia,Dawson County,Donald Trump,REP,13398,True
Georgia,Dawson County,Joe Biden,DEM,2486,False
Georgia,Dawson County,Jo Jorgensen,LIB,197,False
Georgia,Dawson County, Write-ins,WRI,0,False
Georgia,Decatur County,Donald Trump,REP,6755,True
Georgia,Decatur County,Joe Biden,DEM,4782,False
Georgia,Decatur County,Jo Jorgensen,LIB,88,False
Georgia,Decatur County, Write-ins,WRI,0,False
Georgia,DeKalb County,Joe Biden,DEM,308162,True
Georgia,DeKalb County,Donald Trump,REP,58377,False
Georgia,DeKalb County,Jo Jorgensen,LIB,4207,False
Georgia,DeKalb County, Write-ins,WRI,0,False
Georgia,Dodge County,Donald Trump,REP,5843,True
Georgia,Dodge County,Joe Biden,DEM,2172,False
Georgia,Dodge County,Jo Jorgensen,LIB,56,False
Georgia,Dodge County, Write-ins,WRI,0,False
Georgia,Dooly County,Donald Trump,REP,2159,True
Georgia,Dooly County,Joe Biden,DEM,1911,False
Georgia,Dooly County,Jo Jorgensen,LIB,35,False
Georgia,Dooly County, Write-ins,WRI,0,False
Georgia,Dougherty County,Joe Biden,DEM,24568,True
Georgia,Dougherty County,Donald Trump,REP,10441,False
Georgia,Dougherty County,Jo Jorgensen,LIB,278,False
Georgia,Dougherty County, Write-ins,WRI,0,False
Georgia,Douglas County,Joe Biden,DEM,42814,True
Georgia,Douglas County,Donald Trump,REP,25454,False
Georgia,Douglas County,Jo Jorgensen,LIB,838,False
Georgia,Douglas County, Write-ins,WRI,0,False
Georgia,Early County,Donald Trump,REP,2710,True
Georgia,Early County,Joe Biden,DEM,2450,False
Georgia,Early County,Jo Jorgensen,LIB,28,False
Georgia,Early County, Write-ins,WRI,0,False
Georgia,Echols County,Donald Trump,REP,1256,True
Georgia,Echols County,Joe Biden,DEM,167,False
Georgia,Echols County,Jo Jorgensen,LIB,18,False
Georgia,Echols County, Write-ins,WRI,0,False
Georgia,Effingham County,Donald Trump,REP,23361,True
Georgia,Effingham County,Joe Biden,DEM,7718,False
Georgia,Effingham County,Jo Jorgensen,LIB,492,False
Georgia,Effingham County, Write-ins,WRI,0,False
Georgia,Elbert County,Donald Trump,REP,6226,True
Georgia,Elbert County,Joe Biden,DEM,2879,False
Georgia,Elbert County,Jo Jorgensen,LIB,66,False
Georgia,Elbert County, Write-ins,WRI,0,False
Georgia,Emanuel County,Donald Trump,REP,6553,True
Georgia,Emanuel County,Joe Biden,DEM,2886,False
Georgia,Emanuel County,Jo Jorgensen,LIB,66,False
Georgia,Emanuel County, Write-ins,WRI,0,False
Georgia,Evans County,Donald Trump,REP,2888,True
Georgia,Evans County,Joe Biden,DEM,1324,False
Georgia,Evans County,Jo Jorgensen,LIB,35,False
Georgia,Evans County, Write-ins,WRI,0,False
Georgia,Fannin County,Donald Trump,REP,12169,True
Georgia,Fannin County,Joe Biden,DEM,2570,False
Georgia,Fannin County,Jo Jorgensen,LIB,110,False
Georgia,Fannin County, Write-ins,WRI,0,False
Georgia,Fayette County,Donald Trump,REP,37956,True
Georgia,Fayette County,Joe Biden,DEM,33062,False
Georgia,Fayette County,Jo Jorgensen,LIB,976,False
Georgia,Fayette County, Write-ins,WRI,0,False
Georgia,Floyd County,Donald Trump,REP,28906,True
Georgia,Floyd County,Joe Biden,DEM,11917,False
Georgia,Floyd County,Jo Jorgensen,LIB,518,False
Georgia,Floyd County, Write-ins,WRI,0,False
Georgia,Forsyth County,Donald Trump,REP,85123,True
Georgia,Forsyth County,Joe Biden,DEM,42208,False
Georgia,Forsyth County,Jo Jorgensen,LIB,1980,False
Georgia,Forsyth County, Write-ins,WRI,0,False
Georgia,Franklin County,Donald Trump,REP,9069,True
Georgia,Franklin County,Joe Biden,DEM,1593,False
Georgia,Franklin County,Jo Jorgensen,LIB,103,False
Georgia,Franklin County, Write-ins,WRI,0,False
Georgia,Fulton County,Joe Biden,DEM,380212,True
Georgia,Fulton County,Donald Trump,REP,137247,False
Georgia,Fulton County,Jo Jorgensen,LIB,6320,False
Georgia,Fulton County, Write-ins,WRI,0,False
Georgia,Gilmer County,Donald Trump,REP,13429,True
Georgia,Gilmer County,Joe Biden,DEM,2932,False
Georgia,Gilmer County,Jo Jorgensen,LIB,164,False
Georgia,Gilmer County, Write-ins,WRI,0,False
Georgia,Glascock County,Donald Trump,REP,1402,True
Georgia,Glascock County,Joe Biden,DEM,155,False
Georgia,Glascock County,Jo Jorgensen,LIB,8,False
Georgia,Glascock County, Write-ins,WRI,0,False
Georgia,Glynn County,Donald Trump,REP,25617,True
Georgia,Glynn County,Joe Biden,DEM,15882,False
Georgia,Glynn County,Jo Jorgensen,LIB,489,False
Georgia,Glynn County, Write-ins,WRI,0,False
Georgia,Gordon County,Donald Trump,REP,19405,True
Georgia,Gordon County,Joe Biden,DEM,4384,False
Georgia,Gordon County,Jo Jorgensen,LIB,244,False
Georgia,Gordon County, Write-ins,WRI,0,False
Georgia,Grady County,Donald Trump,REP,7034,True
Georgia,Grady County,Joe Biden,DEM,3619,False
Georgia,Grady County,Jo Jorgensen,LIB,54,False
Georgia,Grady County, Write-ins,WRI,0,False
Georgia,Greene County,Donald Trump,REP,7066,True
Georgia,Greene County,Joe Biden,DEM,4087,False
Georgia,Greene County,Jo Jorgensen,LIB,91,False
Georgia,Greene County, Write-ins,WRI,0,False
Georgia,Gwinnett County,Joe Biden,DEM,241994,True
Georgia,Gwinnett County,Donald Trump,REP,166400,False
Georgia,Gwinnett County,Jo Jorgensen,LIB,5629,False
Georgia,Gwinnett County, Write-ins,WRI,0,False
Georgia,Habersham County,Donald Trump,REP,16637,True
Georgia,Habersham County,Joe Biden,DEM,3562,False
Georgia,Habersham County,Jo Jorgensen,LIB,232,False
Georgia,Habersham County, Write-ins,WRI,0,False
Georgia,Hall County,Donald Trump,REP,64183,True
Georgia,Hall County,Joe Biden,DEM,25033,False
Georgia,Hall County,Jo Jorgensen,LIB,1321,False
Georgia,Hall County, Write-ins,WRI,0,False
Georgia,Hancock County,Joe Biden,DEM,2976,True
Georgia,Hancock County,Donald Trump,REP,1154,False
Georgia,Hancock County,Jo Jorgensen,LIB,23,False
Georgia,Hancock County, Write-ins,WRI,0,False
Georgia,Haralson County,Donald Trump,REP,12330,True
Georgia,Haralson County,Joe Biden,DEM,1791,False
Georgia,Haralson County,Jo Jorgensen,LIB,125,False
Georgia,Haralson County, Write-ins,WRI,0,False
Georgia,Harris County,Donald Trump,REP,14319,True
Georgia,Harris County,Joe Biden,DEM,5457,False
Georgia,Harris County,Jo Jorgensen,LIB,215,False
Georgia,Harris County, Write-ins,WRI,0,False
Georgia,Hart County,Donald Trump,REP,9465,True
Georgia,Hart County,Joe Biden,DEM,3157,False
Georgia,Hart County,Jo Jorgensen,LIB,106,False
Georgia,Hart County, Write-ins,WRI,0,False
Georgia,Heard County,Donald Trump,REP,4519,True
Georgia,Heard County,Joe Biden,DEM,824,False
Georgia,Heard County,Jo Jorgensen,LIB,51,False
Georgia,Heard County, Write-ins,WRI,0,False
Georgia,Henry County,Joe Biden,DEM,73443,True
Georgia,Henry County,Donald Trump,REP,48259,False
Georgia,Henry County,Jo Jorgensen,LIB,1296,False
Georgia,Henry County, Write-ins,WRI,0,False
Georgia,Houston County,Donald Trump,REP,41540,True
Georgia,Houston County,Joe Biden,DEM,32239,False
Georgia,Houston County,Jo Jorgensen,LIB,1059,False
Georgia,Houston County, Write-ins,WRI,0,False
Georgia,Irwin County,Donald Trump,REP,3134,True
Georgia,Irwin County,Joe Biden,DEM,1008,False
Georgia,Irwin County,Jo Jorgensen,LIB,26,False
Georgia,Irwin County, Write-ins,WRI,0,False
Georgia,Jackson County,Donald Trump,REP,29502,True
Georgia,Jackson County,Joe Biden,DEM,7642,False
Georgia,Jackson County,Jo Jorgensen,LIB,531,False
Georgia,Jackson County, Write-ins,WRI,0,False
Georgia,Jasper County,Donald Trump,REP,5822,True
Georgia,Jasper County,Joe Biden,DEM,1761,False
Georgia,Jasper County,Jo Jorgensen,LIB,61,False
Georgia,Jasper County, Write-ins,WRI,0,False
Georgia,Jeff Davis County,Donald Trump,REP,4695,True
Georgia,Jeff Davis County,Joe Biden,DEM,1028,False
Georgia,Jeff Davis County,Jo Jorgensen,LIB,48,False
Georgia,Jeff Davis County, Write-ins,WRI,0,False
Georgia,Jefferson County,Joe Biden,DEM,4058,True
Georgia,Jefferson County,Donald Trump,REP,3537,False
Georgia,Jefferson County,Jo Jorgensen,LIB,44,False
Georgia,Jefferson County, Write-ins,WRI,0,False
Georgia,Jenkins County,Donald Trump,REP,2161,True
Georgia,Jenkins County,Joe Biden,DEM,1266,False
Georgia,Jenkins County,Jo Jorgensen,LIB,28,False
Georgia,Jenkins County, Write-ins,WRI,0,False
Georgia,Johnson County,Donald Trump,REP,2850,True
Georgia,Johnson County,Joe Biden,DEM,1222,False
Georgia,Johnson County,Jo Jorgensen,LIB,28,False
Georgia,Johnson County, Write-ins,WRI,0,False
Georgia,Jones County,Donald Trump,REP,9940,True
Georgia,Jones County,Joe Biden,DEM,4882,False
Georgia,Jones County,Jo Jorgensen,LIB,112,False
Georgia,Jones County, Write-ins,WRI,0,False
Georgia,Lamar County,Donald Trump,REP,6331,True
Georgia,Lamar County,Joe Biden,DEM,2620,False
Georgia,Lamar County,Jo Jorgensen,LIB,94,False
Georgia,Lamar County, Write-ins,WRI,0,False
Georgia,Lanier County,Donald Trump,REP,2509,True
Georgia,Lanier County,Joe Biden,DEM,1019,False
Georgia,Lanier County,Jo Jorgensen,LIB,48,False
Georgia,Lanier County, Write-ins,WRI,0,False
Georgia,Laurens County,Donald Trump,REP,14493,True
Georgia,Laurens County,Joe Biden,DEM,8074,False
Georgia,Laurens County,Jo Jorgensen,LIB,164,False
Georgia,Laurens County, Write-ins,WRI,0,False
Georgia,Lee County,Donald Trump,REP,12007,True
Georgia,Lee County,Joe Biden,DEM,4558,False
Georgia,Lee County,Jo Jorgensen,LIB,149,False
Georgia,Lee County, Write-ins,WRI,0,False
Georgia,Liberty County,Joe Biden,DEM,13104,True
Georgia,Liberty County,Donald Trump,REP,7959,False
Georgia,Liberty County,Jo Jorgensen,LIB,331,False
Georgia,Liberty County, Write-ins,WRI,0,False
Georgia,Lincoln County,Donald Trump,REP,3173,True
Georgia,Lincoln County,Joe Biden,DEM,1432,False
Georgia,Lincoln County,Jo Jorgensen,LIB,36,False
Georgia,Lincoln County, Write-ins,WRI,0,False
Georgia,Long County,Donald Trump,REP,3527,True
Georgia,Long County,Joe Biden,DEM,2035,False
Georgia,Long County,Jo Jorgensen,LIB,95,False
Georgia,Long County, Write-ins,WRI,0,False
Georgia,Lowndes County,Donald Trump,REP,25692,True
Georgia,Lowndes County,Joe Biden,DEM,20116,False
Georgia,Lowndes County,Jo Jorgensen,LIB,547,False
Georgia,Lowndes County, Write-ins,WRI,0,False
Georgia,Lumpkin County,Donald Trump,REP,12163,True
Georgia,Lumpkin County,Joe Biden,DEM,3126,False
Georgia,Lumpkin County,Jo Jorgensen,LIB,242,False
Georgia,Lumpkin County, Write-ins,WRI,0,False
Georgia,McDuffie County,Donald Trump,REP,6169,True
Georgia,McDuffie County,Joe Biden,DEM,4168,False
Georgia,McDuffie County,Jo Jorgensen,LIB,118,False
Georgia,McDuffie County, Write-ins,WRI,0,False
Georgia,McIntosh County,Donald Trump,REP,4016,True
Georgia,McIntosh County,Joe Biden,DEM,2612,False
Georgia,McIntosh County,Jo Jorgensen,LIB,68,False
Georgia,McIntosh County, Write-ins,WRI,0,False
Georgia,Macon County,Joe Biden,DEM,2858,True
Georgia,Macon County,Donald Trump,REP,1783,False
Georgia,Macon County,Jo Jorgensen,LIB,22,False
Georgia,Macon County, Write-ins,WRI,0,False
Georgia,Madison County,Donald Trump,REP,11326,True
Georgia,Madison County,Joe Biden,DEM,3411,False
Georgia,Madison County,Jo Jorgensen,LIB,200,False
Georgia,Madison County, Write-ins,WRI,0,False
Georgia,Marion County,Donald Trump,REP,2275,True
Georgia,Marion County,Joe Biden,DEM,1312,False
Georgia,Marion County,Jo Jorgensen,LIB,38,False
Georgia,Marion County, Write-ins,WRI,0,False
Georgia,Meriwether County,Donald Trump,REP,6524,True
Georgia,Meriwether County,Joe Biden,DEM,4287,False
Georgia,Meriwether County,Jo Jorgensen,LIB,66,False
Georgia,Meriwether County, Write-ins,WRI,0,False
Georgia,Miller County,Donald Trump,REP,2066,True
Georgia,Miller County,Joe Biden,DEM,748,False
Georgia,Miller County,Jo Jorgensen,LIB,20,False
Georgia,Miller County, Write-ins,WRI,0,False
Georgia,Mitchell County,Donald Trump,REP,4935,True
Georgia,Mitchell County,Joe Biden,DEM,3993,False
Georgia,Mitchell County,Jo Jorgensen,LIB,34,False
Georgia,Mitchell County, Write-ins,WRI,0,False
Georgia,Monroe County,Donald Trump,REP,11057,True
Georgia,Monroe County,Joe Biden,DEM,4385,False
Georgia,Monroe County,Jo Jorgensen,LIB,148,False
Georgia,Monroe County, Write-ins,WRI,0,False
Georgia,Montgomery County,Donald Trump,REP,2960,True
Georgia,Montgomery County,Joe Biden,DEM,980,False
Georgia,Montgomery County,Jo Jorgensen,LIB,27,False
Georgia,Montgomery County, Write-ins,WRI,0,False
Georgia,Morgan County,Donald Trump,REP,8231,True
Georgia,Morgan County,Joe Biden,DEM,3353,False
Georgia,Morgan County,Jo Jorgensen,LIB,122,False
Georgia,Morgan County, Write-ins,WRI,0,False
Georgia,Murray County,Donald Trump,REP,12944,True
Georgia,Murray County,Joe Biden,DEM,2301,False
Georgia,Murray County,Jo Jorgensen,LIB,144,False
Georgia,Murray County, Write-ins,WRI,0,False
Georgia,Muscogee County,Joe Biden,DEM,49446,True
Georgia,Muscogee County,Donald Trump,REP,30107,False
Georgia,Muscogee County,Jo Jorgensen,LIB,961,False
Georgia,Muscogee County, Write-ins,WRI,0,False
Georgia,Newton County,Joe Biden,DEM,29789,True
Georgia,Newton County,Donald Trump,REP,23869,False
Georgia,Newton County,Jo Jorgensen,LIB,576,False
Georgia,Newton County, Write-ins,WRI,0,False
Georgia,Oconee County,Donald Trump,REP,16595,True
Georgia,Oconee County,Joe Biden,DEM,8162,False
Georgia,Oconee County,Jo Jorgensen,LIB,411,False
Georgia,Oconee County, Write-ins,WRI,0,False
Georgia,Oglethorpe County,Donald Trump,REP,5592,True
Georgia,Oglethorpe County,Joe Biden,DEM,2439,False
Georgia,Oglethorpe County,Jo Jorgensen,LIB,102,False
Georgia,Oglethorpe County, Write-ins,WRI,0,False
Georgia,Paulding County,Donald Trump,REP,54517,True
Georgia,Paulding County,Joe Biden,DEM,29695,False
Georgia,Paulding County,Jo Jorgensen,LIB,1160,False
Georgia,Paulding County, Write-ins,WRI,0,False
Georgia,Peach County,Donald Trump,REP,6506,True
Georgia,Peach County,Joe Biden,DEM,5922,False
Georgia,Peach County,Jo Jorgensen,LIB,125,False
Georgia,Peach County, Write-ins,WRI,0,False
Georgia,Pickens County,Donald Trump,REP,14110,True
Georgia,Pickens County,Joe Biden,DEM,2824,False
Georgia,Pickens County,Jo Jorgensen,LIB,233,False
Georgia,Pickens County, Write-ins,WRI,0,False
Georgia,Pierce County,Donald Trump,REP,7898,True
Georgia,Pierce County,Joe Biden,DEM,1100,False
Georgia,Pierce County,Jo Jorgensen,LIB,49,False
Georgia,Pierce County, Write-ins,WRI,0,False
Georgia,Pike County,Donald Trump,REP,9127,True
Georgia,Pike County,Joe Biden,DEM,1505,False
Georgia,Pike County,Jo Jorgensen,LIB,88,False
Georgia,Pike County, Write-ins,WRI,0,False
Georgia,Polk County,Donald Trump,REP,13587,True
Georgia,Polk County,Joe Biden,DEM,3657,False
Georgia,Polk County,Jo Jorgensen,LIB,152,False
Georgia,Polk County, Write-ins,WRI,0,False
Georgia,Pulaski County,Donald Trump,REP,2815,True
Georgia,Pulaski County,Joe Biden,DEM,1230,False
Georgia,Pulaski County,Jo Jorgensen,LIB,36,False
Georgia,Pulaski County, Write-ins,WRI,0,False
Georgia,Putnam County,Donald Trump,REP,8291,True
Georgia,Putnam County,Joe Biden,DEM,3448,False
Georgia,Putnam County,Jo Jorgensen,LIB,116,False
Georgia,Putnam County, Write-ins,WRI,0,False
Georgia,Quitman County,Donald Trump,REP,604,True
Georgia,Quitman County,Joe Biden,DEM,497,False
Georgia,Quitman County,Jo Jorgensen,LIB,5,False
Georgia,Quitman County, Write-ins,WRI,0,False
Georgia,Rabun County,Donald Trump,REP,7474,True
Georgia,Rabun County,Joe Biden,DEM,1984,False
Georgia,Rabun County,Jo Jorgensen,LIB,110,False
Georgia,Rabun County, Write-ins,WRI,0,False
Georgia,Randolph County,Joe Biden,DEM,1671,True
Georgia,Randolph County,Donald Trump,REP,1390,False
Georgia,Randolph County,Jo Jorgensen,LIB,12,False
Georgia,Randolph County, Write-ins,WRI,0,False
Georgia,Richmond County,Joe Biden,DEM,59119,True
Georgia,Richmond County,Donald Trump,REP,26780,False
Georgia,Richmond County,Jo Jorgensen,LIB,1110,False
Georgia,Richmond County, Write-ins,WRI,0,False
Georgia,Rockdale County,Joe Biden,DEM,31237,True
Georgia,Rockdale County,Donald Trump,REP,13014,False
Georgia,Rockdale County,Jo Jorgensen,LIB,430,False
Georgia,Rockdale County, Write-ins,WRI,0,False
Georgia,Schley County,Donald Trump,REP,1800,True
Georgia,Schley County,Joe Biden,DEM,462,False
Georgia,Schley County,Jo Jorgensen,LIB,13,False
Georgia,Schley County, Write-ins,WRI,0,False
Georgia,Screven County,Donald Trump,REP,3915,True
Georgia,Screven County,Joe Biden,DEM,2661,False
Georgia,Screven County,Jo Jorgensen,LIB,51,False
Georgia,Screven County, Write-ins,WRI,0,False
Georgia,Seminole County,Donald Trump,REP,2613,True
Georgia,Seminole County,Joe Biden,DEM,1256,False
Georgia,Seminole County,Jo Jorgensen,LIB,19,False
Georgia,Seminole County, Write-ins,WRI,0,False
Georgia,Spalding County,Donald Trump,REP,18104,True
Georgia,Spalding County,Joe Biden,DEM,11828,False
Georgia,Spalding County,Jo Jorgensen,LIB,279,False
Georgia,Spalding County, Write-ins,WRI,0,False
Georgia,Stephens County,Donald Trump,REP,9367,True
Georgia,Stephens County,Joe Biden,DEM,2386,False
Georgia,Stephens County,Jo Jorgensen,LIB,132,False
Georgia,Stephens County, Write-ins,WRI,0,False
Georgia,Stewart County,Joe Biden,DEM,1182,True
Georgia,Stewart County,Donald Trump,REP,801,False
Georgia,Stewart County,Jo Jorgensen,LIB,7,False
Georgia,Stewart County, Write-ins,WRI,0,False
Georgia,Sumter County,Joe Biden,DEM,6314,True
Georgia,Sumter County,Donald Trump,REP,5733,False
Georgia,Sumter County,Jo Jorgensen,LIB,101,False
Georgia,Sumter County, Write-ins,WRI,0,False
Georgia,Talbot County,Joe Biden,DEM,2114,True
Georgia,Talbot County,Donald Trump,REP,1392,False
Georgia,Talbot County,Jo Jorgensen,LIB,16,False
Georgia,Talbot County, Write-ins,WRI,0,False
Georgia,Taliaferro County,Joe Biden,DEM,561,True
